name_track,artist_track,uri_track,popularity,danceability
I Want You (She's So Heavy) - Remastered 2009,The Beatles,spotify:track:3Z25k4ZF6QENy2d9YatsM5,61,37
Here Comes The Sun - Remastered 2009,The Beatles,spotify:track:6dGnYIeXmHdcikdzNNDMm2,82,56
Back In The U.S.S.R. - Remastered 2009,The Beatles,spotify:track:0j3p1p06deJ7f9xmJ9yG22,65,48
Dear Prudence - Remastered 2009,The Beatles,spotify:track:5NQYyej46WQkgCbnzGD21W,60,39
Glass Onion - Remastered 2009,The Beatles,spotify:track:2jAojvUaPoHPFSPpF0UNRo,54,52
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,spotify:track:1gFNm7cXfG1vSMcxPpSxec,71,82
While My Guitar Gently Weeps - Remastered 2009,The Beatles,spotify:track:389QX9Q1eUOEZ19vtzzI9O,70,45
Happiness Is A Warm Gun - Remastered 2009,The Beatles,spotify:track:71LsKf3xISiOlY1mj7FFPP,58,43
Blackbird - Remastered 2009,The Beatles,spotify:track:5jgFfDIR6FR0gvlA56Nakr,73,69
Rocky Raccoon - Remastered 2009,The Beatles,spotify:track:1ITQbrueGLl581a25XXm9c,57,60
Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,The Beatles,spotify:track:64P3zpRsDHIk7YTpRtaKYL,49,52
Helter Skelter - Remastered 2009,The Beatles,spotify:track:0Bs0hUYxz7REyIHH7tRhL2,62,17
Cry Baby Cry - Remastered 2009,The Beatles,spotify:track:5XmetMMUFNXClbiYnGdVmP,49,52
No Reply - Remastered 2009,The Beatles,spotify:track:4ltC6PrqkTtpcRNi5lvS4z,56,72
I'm A Loser - Remastered 2009,The Beatles,spotify:track:7wC4EW11mBVxDK3xdC7FTf,48,49
Baby's In Black - Remastered 2009,The Beatles,spotify:track:7cb2SdLm1UMLwdUoWwrZN1,46,37
I'll Follow The Sun - Remastered 2009,The Beatles,spotify:track:45WX2cfbL8bCIqv3rOq1G3,60,69
Kansas City / Hey-Hey-Hey-Hey - Medley / Remastered 2009,The Beatles,spotify:track:5xf0zdP4KCfshyVn02D3Ea,44,59
Eight Days A Week - Remastered 2009,The Beatles,spotify:track:1Dg4dFJr3HW7sbA7vPejre,64,65
What You're Doing - Remastered 2009,The Beatles,spotify:track:6C6y4OWK1Ki3FVF1TIonxW,44,70
A Hard Day's Night - Remastered 2009,The Beatles,spotify:track:5J2CHimS7dWYMImCHkEFaJ,66,59
I Should Have Known Better - Remastered 2009,The Beatles,spotify:track:3pU1CUgPiFfxPCpscwIwQR,60,68
I'm Happy Just To Dance With You - Remastered 2009,The Beatles,spotify:track:0gd50I2gKioJ59C827EdAY,56,66
Can't Buy Me Love - Remastered 2009,The Beatles,spotify:track:3SdingSsFcZDZAyvcJbgAw,65,48
Any Time At All - Remastered 2009,The Beatles,spotify:track:70XHAdaMaoLIOVb1hSaeJ4,48,61
Help! - Remastered 2009,The Beatles,spotify:track:7DD7eSuYSC5xk2ArU62esN,70,53
The Night Before - Remastered 2009,The Beatles,spotify:track:5xcfepnz1v7a83T8An9gjw,56,46
You've Got To Hide Your Love Away - Remastered 2009,The Beatles,spotify:track:4F1AgKpuFRMLEgtPETVwZk,63,40
Ticket To Ride - Remastered 2009,The Beatles,spotify:track:7CZiDzGVjUssMSOXrDNYHL,65,52
It's Only Love - Remastered 2009,The Beatles,spotify:track:2ue1KRstSKHF8jQkIJZiNC,51,63
I've Just Seen A Face - Remastered 2009,The Beatles,spotify:track:788U1Sqej9M6c4iikuDGxO,61,65
