name_track,artist_track,uri_track,popularity,tempo,genres,urlImage
Whole Lotta Rosie,AC/DC,spotify:track:4wYq5wugZDzQiMZQYG4wVB,64,159,"australian rock, hard rock, rock",https://i.scdn.co/image/ab67616d0000485105a19220d37bc871db939b64
Beautiful James,Placebo,spotify:track:0SUMFBC9EV9dCgEMUy6ImI,43,168,reggaeton mexicano,https://i.scdn.co/image/ab67616d00004851f2ba81d05aa11467a5fd38fe
Zombie,The Cranberries,spotify:track:7EZC6E7UjZe63f1jRmkWxt,81,167,"irish rock, pop rock",https://i.scdn.co/image/ab67616d0000485172d481a5999197ef5f42f796
Chop Suey!,System Of A Down,spotify:track:2DlHlPMa4M17kufBvI2lEN,82,127,"alternative metal, nu metal, rap metal",https://i.scdn.co/image/ab67616d0000485130d45198d0c9e8841f9a9578
Into My Arms - 2011 Remastered Version,Nick Cave & The Bad Seeds,spotify:track:407ltk0BtcZI8kgu0HH4Yj,64,94,"permanent wave, singer-songwriter",https://i.scdn.co/image/ab67616d00004851d0535e1261840a3994463e8e
Psycho,Muse,spotify:track:383QXk8nb2YrARMUwDdjQS,67,125,"puerto rican pop, trap latino",https://i.scdn.co/image/ab67616d00004851808846f0223d97d5963c420d
Fade To Black - Remastered,Metallica,spotify:track:5nekfiTN45vlxG0eNJQQye,68,114,"hard rock, metal, old school thrash, rock, thrash metal",https://i.scdn.co/image/ab67616d0000485196a926d07aea417327ea024a
Chaise Longue,Wet Leg,spotify:track:0nys6GusuHnjSYLW0PYYb7,64,160,indie rock,https://i.scdn.co/image/ab67616d00004851ea1126a33b0fb88e79915262
Du hast,Rammstein,spotify:track:5awDvzxWfd53SSrsRZ8pXO,74,125,"alternative metal, german metal, industrial, industrial metal, industrial rock, neue deutsche harte",https://i.scdn.co/image/ab67616d00004851a715d32590424cd667879ba3
505,Arctic Monkeys,spotify:track:0BxE4FqsDD1Ot4YuBXwAPp,86,140,"garage rock, modern rock, permanent wave, rock, sheffield indie",https://i.scdn.co/image/ab67616d00004851b1f8da74f225fa1225cdface
Run to the Hills - 2015 Remaster,Iron Maiden,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,71,174,"hard rock, metal, nwobhm, rock",https://i.scdn.co/image/ab67616d000048515c29a88ba5341ca428f0c322
Boys In the Better Land,Fontaines D.C.,spotify:track:2dxXKqqpSV4eCgPxC6t8mn,56,177,"indie rock, irish indie rock, modern rock",https://i.scdn.co/image/ab67616d000048519a97cd62925a0424ada7dbfb
Street Spirit (Fade Out),Radiohead,spotify:track:2QwObYJWyJTiozvs0RI7CF,66,138,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",https://i.scdn.co/image/ab67616d000048519293c743fa542094336c5e12
Times Like These,Foo Fighters,spotify:track:67vYdAAM3oGsEImCRfbtsF,69,145,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",https://i.scdn.co/image/ab67616d00004851b00ee453b3496535eaa6e4b3
Sober,TOOL,spotify:track:6DyywdbmTzlmXBzG9ym7Rt,67,149,"atl hip hop, hip hop, melodic rap, pop rap, rap, southern hip hop, trap",https://i.scdn.co/image/ab67616d0000485182298636c94b8167c4793db2
Tumble and Fall,JOHAN,spotify:track:5ku4FJx6glN1SFAlkkmTpo,33,170,"indie pop, pop",https://i.scdn.co/image/ab67616d00004851665b82c268abd30f562dd39f
Basket Case,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s,80,85,"permanent wave, punk",https://i.scdn.co/image/ab67616d00004851db89b08034de626ebee6823d
Cold Little Heart - Radio Edit,Michael Kiwanuka,spotify:track:7KX65PC1UZuImsUInThbav,69,110,"british soul, neo soul, psychedelic soul, soul",https://i.scdn.co/image/ab67616d00004851d38e121683bc208a4530fb22
Even Flow,Pearl Jam,spotify:track:6QewNVIDKdSl8Y3ycuHIei,75,105,"alternative rock, grunge, permanent wave, rock",https://i.scdn.co/image/ab67616d00004851d400d27cba05bb0545533864
Sad Man's Tongue,Volbeat,spotify:track:7BbrlQk1YHVjHVyoGEpDV2,57,110,"alternative metal, danish metal, danish rock, nu metal",https://i.scdn.co/image/ab67616d000048510097053bae8338904e04b121
Munich,Editors,spotify:track:1TF8mSG5YHyaS4o3NeBSAo,59,149,"alternative dance, britpop, indie rock, modern rock, rock",https://i.scdn.co/image/ab67616d00004851049c2cc7af9851c23d16b509
Song 2 - 2012 Remaster,Blur,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,78,130,"contemporary r&b, dance pop, hip pop, neo soul, r&b, urban contemporary",https://i.scdn.co/image/ab67616d00004851de114203356c1f7b136960b6
Let It Happen,Tame Impala,spotify:track:2X485T9Z5Ly0xyaghN73ed,74,125,"australian psych, neo-psychedelic",https://i.scdn.co/image/ab67616d000048519e1cfc756886ac782e363d79
Open Your Eyes,Guano Apes,spotify:track:5oxpT46KeiEuckYnChgFFT,63,112,"alternative metal, funk metal, funk rock, german alternative rock, german rock, nu metal, rap rock",https://i.scdn.co/image/ab67616d0000485190de79652ab78e4954dd7a8f
Sad Supermarket Song,Mozes and the Firstborn,spotify:track:4jY3nrmw8tpKcvFZEqMkDJ,30,127,"dutch indie, dutch indie rock, dutch rock",https://i.scdn.co/image/ab67616d00004851cad919bb7794da1000d4415b
